"VAASAN KOTIUUNIN Rukiinen cocktailpiirakka 15 x 45g",6437005048289
"Pirkka kanelipullat 9kpl/495g",6410405048011
"Pirkka paistovalmis tumma suklaacookie 6 kpl/390g",6410405133977
"Pirkka rahkapullat 9kpl/495g",6410405047267
"Pirkka vadelmaviinerit 9kpl/495g",6410405066879
"Fazer Dallaspulla 9 kpl / 450 g",6410345916005
"Fazer Nami munkki 12 kpl",6410345921009
"Findus Kanelipullia Big Pack 700 g",7310500045863
"Findus Kanelipullia 420 g",7310500000343
"Findus kardemumma pulla 420g",7310500000336
"Findus Omena-Kanelipullia Big Pack 700 g",7310500093604
"Findus Vaniljapullia 400 g",7310500106847
"Kanaki vaniljakieppi 400g",5201063053414
"Kotiuunin Toscapulla 8kpl/440g",6437005064173
"Myllyn Paras Luumutorttu 440 g pakasteleivonnainen",6417700060120
"VAASAN KOTIUUNIN Mansikkaviineri 8 x 60g",6437005060847
"VAASAN KOTIUUNIN Omenaviineri 10 x 48g",6410500062042
"VAASAN KOTIUUNIN Toffeeviineri 8 x 60g",6410500062080
"VAASAN KOTIUUNIN Vadelmasydän-munkki 8 x 45g",6437005050077
"VAASAN KOTIUUNIN Voisilmäpulla 7 x 60g",6437005054389
"Myllyn paras voitaikinatasku 420g",6417700060373
"Pirkka gluteeniton karkea leipä 500g",6410402007431
"Pirkka gluteeniton palaleipä 4kpl/320g",6410405130099
"Fria minipatonki gluteeniton 280g",7330242200887
"Fria unikkosämpylä 4kpl/280g gton",7330242200863
"Mini Revityt 3kpl/330g glutenfri djupfryst",6430024242065
"Moilas Gluten-Free Aamiaissämpylä 5 kpl",6431903313203
"Moilas Gluten-Free Juustorieska 3kpl",6431903728137
"Moilas Gluten-Free Kiviarinarieska 3 kpl",6431903728014
"Moilas Gluten-Free Tumma leipä 600g",6431903311230
"Provena gluteeniton kaura- ja myslisämpylä 320 g",6411200108405
"Semper Toasty Puhdas Kaura 400g gluteeniton leipä",7312170055531
"Semper Toasty Rouheinen 400g gluteeniton leipä",7312170055524
"Semper Toasty Vaalea 400g gluteeniton leipä",7312170055517
"Sunnuntai kaura-porkkanasämpylä 400 g",6411200104162
"Sunnuntai tumma kaura-tattarisämpylä 400 g",6411200104643
"Pirkka gluteeniton sitruunamuffinssi 3 kpl/ 150 g",6410405098078
"Pirkka gluteeniton suklaamuffinssi 3 kpl/ 150 g",6410405098092
"Moilas Gluten-Free Vaniljatäytepulla 5kpl/300g",6431903317201
"Mustikka-rahkapulla 4kpl/300g gluteeniton pakaste",6430024242034
"Pirkka gluteenittomat kinkku-tomaattipiiraat 4kpl/220g",6410405114914
"Moilas Gluten-Free Riisipiirakka 6kpl",6431903324520
"Multicatering focaccia oliivilla 190g gton",8054377493738
"Vuohelan riisipiirakka 295g  gton",6430024242072
"Pirkka esikaulittu ja laskostettu voitaikina 500g",6410400046876
"Myllyn Paras Voitaikina 500 g pakastetaikina",6417700050251
"Pirkka lehtitaikinalevyt 6kpl/500g",6410400046852
"Sunnuntai isot lehtitaikinalevyt 800g",6438207011200
"Pirkka murotaikina 2kpl/400g",6410400049310
"Pirkka piirakkataikina 2kpl/400g",6410402020904
"Pirkka rukiinen piirakkataikina 400g",6410405076854
"Myllyn Paras Kauramurotaikina 400 g margariini pakastetaikina",6417700060168
"Myllyn Paras Pyöreä Piirakkataikina makea 380 g",6417700067754
"Myllyn Paras Pyöreä Piirakkataikina suolainen 380 g",6417700067761
"Myllyn Paras Pyöreä Ruis-Kaura Piirakkataikina 380 g",6417700067792
"Myllyn Paras Ruistaikina 500 g pakastetaikina",6417700060182
"Sunnuntai murotaikina 400 g",6411200055563
"Sunnuntai ruisperunataikina 400 g",6411200056621
"Kanaki fillo-taikina 450 g",5201063001545
"Myllyn Paras Laktoositon Piparitaikina 500 g pakastetaikina",6417700067501
"Myllyn Paras Piparkakkutaikina 500 g voi pakastetaikina",6417700060267
"Oululainen hapankorppu 370g",6413466041205
"Vaasan Koulunäkki Maukas 500g",6410500045700
"Pirkka hapankorppu 400 g",6410400025376
"VAASAN 100 % Ruis Hapankorppu 300 g",6437005058394
"Ryvita Multi-Grain näkkileipä 250g",5010265002072
"Linkosuo RuisSipsi Grilli 150 g",6420400000334
"Pirkka ruisnäkkileipä 200 g",6410402008971
"Pirkka täysjyvärukiinen näkkileipä 400 g",6410402026258
"Pirkka täysjyvärukiinen näkkileipä 500 g",6410402008957
"Leksands Jälkiuuni kolmionäkkileipä 200g",7312080004025
"Leksands Perinteinen kolmionäkkileipä 200g",7312080004018
"Leksands Ruutupala näkkileipä 400g",7312080004759
"Ryvita täysjyväruisnäkkileipä 400g",5010265000405
"Vaasan Koulunäkki Kunto 400g",6410500046332
"VAASAN KOULUNÄKKI Luomu luomutäysjyväruisnäkkileipä 220g",6437005063183
"VAASAN KOULUNÄKKI näkkileipä 200 g",6410500045380
"VAASAN KOULUNÄKKI näkkileipä 400 g",6410500045427
"Vaasan koulunäkki 220g kaura",6437005065637
"Vaasan Koulunäkki 5 täysjyväviljaa 200g",6437005071409
"VAASAN KUNTO näkkileipä 200 g",6410500046349
"VAASAN MAUKAS näkkileipä 230 g",6437005050855
"VAASAN PIENI PYÖREÄ Ruis näkkileipä 250 g",6410500488309
"VAASAN PIENI PYÖREÄ Seesami näkkileipä 250 g",6410500097099
"VAASAN YLHÄISTEN LEIPÄ näkkileipä 670 g",6410500046530
"Wasa Delikatess näkkileipä 270g",7300400117968
"Wasa Husman näkkileipä 520g",7300400118408
"Wasa Mineral Plus näkkileipä 200g",7300400127745
"Wasa Sport näkkileipä 550g",7300400114776
"Wasa Vitalite näkkileipä 280g",7300400122092
"Pirkka ohutnäkkileipä 250 g",6410405097552
"JH Cracotte taysjyva 250g",3041096763209
"Ryvita Seesami näkkileipä 250g",5010265000382
"Skarppi näkkileipä 200g",6430023534123
"VAASAN PIENI PYÖREÄ Monivilja näkkileipä 250 g",6410500046516
"VAASAN 100 % Ruis Näkkileipä 240 g",6437005060496
"Wasa Crisp&#039;n 7 Grains Näkkileipä 110g",7300400127851
"Wasa Fiber balance näkkileipä 230g",7300400127004
"Pirkka gluteeniton maissinäkkileipä 250 g",6410405092885
"Pirkka gluteeniton näkkileipä 275 g",6410405102829
"Pirkka kauranäkkileipä 230g",6410405137586
"Semper Gluteeniton näkkileipä 360g",7310100566485
"Semper Karkea näkkileipä 215g gluteeniton",7310100565723
"Semper Kauranäkkileipä 215g gluteeniton",7310100600462
"Semper Ohut näkkileipä 230g gluteeniton",7310100568120
"Semper Varrasnäkkileipä 330g gluteeniton",7312170056804
"Semper 230g Pellavansiemen näkkileipä, gluteeniton",7310100566898
"Wasa näkkileipä 275g gluteeniton laktoositon",7300400109215
"Oululainen Hapankorppu 200 g",6411402975102
"Oululainen hapankorppu 740g",6411402979902
"VAASAN 100 % Ruis Hapankorppu 400 g",6437005058417
"Oululainen kaurakorppu 180g",6410349879009
"Vaasan Valkosipulihapankorppu 175g",6437005069789
"Semper Rouhekorput 150g gluteeniton",7310100570598
"Pirkka Luomu ruisnappi 200 g",6410405105790
"Pirkka varrasleipä 500 g",6410400030134
"Pirkka varrasleipä 750 g (kuminaton)",6410405071941
"Bon chance ruislastu 120g valkosipuli",4770350141475
"Linkosuo  luomu RuisNappi 200 g",6420400000884
"Linkosuo Mini Ruissipsi sour cream 60g",6420400000792
"Linkosuo Mini Ruissipsi tomaatti-paprika 60g",6420400000785
"Linkosuo Nokkosvarrasleipä 500 g",6420400001119
"Linkosuo Ruisnappi Onion- garlic 200 g",6420400001232
"Linkosuo RuisSipsi Aito 150 g",6420400000341
"Linkosuo Ruissipsi maxi valkosipuli 300g",6420400000228
"Linkosuo RuisSipsi Sour Cream  150 g",6420400000372
"Linkosuo RuisSipsi valkosipuli 150 g",6420400000358
"Linkosuo ruissipsi 150g makea chili",6420400000310
"Linkosuo Varrasleipä 500 g",6420400001010
"Linkosuo Väinämöisen PalttoonNapit 500 g",6420400000822
"Ruislandia 100% Ruislastu Luomu 325g",6430034869009
"Vaasan pieni pyöreä varrasnappi 120g",6437005066627
"VAASAN RuisNacho Seesami &amp; Merisuola 130 g",6437005065699
"Vaasan RuisNacho Tomaatti-Rosmariin 130g",6437005071485
"VAASAN RuisNacho Valkosipuli &amp; Yrtit 130 g",6437005065668
"Vaasan RuisNacho 130g ruis-taikinajuuri",6437005069741
"Pirkka rasvaton maito 1 l",6410405082626
"Valio ruokakerma 15% 2dl UHT HYLA",6408430014729
"Valio kevytkermaviili 200 g HYLA®",6408430004287
"Valio kevytmaito 1,5l",6408430001330
"Valio Hyvä suomalainen Arki rasvaton maitojuoma 1,5 l",6408430000470
"Valio luomumaito 1l rasvaton",6408430000173
"Valio Plus™ kevytmaito 1 l",6408430000388
"Crème Bonjour Juusto 15% laktoositon maustettu ruokakerma 2 dl",8712566278688
"Valio Crea ruokakerma 2,5 dl kolme juustoa UHT laktoositon",6408430014798
"Valio creme fraiche150g hyla",6408430041312
"Valio rasvaton maito 1 l",6408430000104
"Valio ykkösmaito 1 l",6408430000111
"Valio eila™ Laktoositon Luomu kevyt maitojuoma 1 L",6408430000272
"Pirkka rasvaton piimä 1 l",6410405079626
"Pirkka laktoositon kuohukerma 2 dl 38 %",6410405109156
"Flora Vispi 20 % 2,5 dl",6411600081162
"Valio maito 1,5l rasvaton",6408430001149
"Pirkka vähälaktoosinen iskukuumennettu täysmaito 1 l",6410405090065
"Valio Plus maitokaakaojuoma 2,5dl lakton",6408430046614
"Arla Ingman Laktoositon rasvaton maitojuoma 2 dl (UHT)",6413300011494
"Valio kevytmaito 1l hyla",6408430011087
"Valio rasvaton maito 1l HYLA® pastöroitu",6408430011131
"Valio Hyvä suomalainen Arki ruokakerma 10 % 2 dl UHT HYLA",6408430015481
"Valio kermaviili 200g",6408430004010
"Valio maustettu rahka 200 g makea mansikka laktoositon",6408430042982
"Valio pehmeä maitorahka 250 g",6408430042081
"Valio Play maitokaakaojuoma 1l lakton",6408430048441
"Valio kuohukerma 3,3 dl laktoositon",6408430014477
"Pirkka laktoositon ruokakerma 15% 2 dl",6410405093448
"Crème Bonjour Pippuri 15% laktoositon maustettu ruokakerma 2 dl",8712566278732
"Tuorehiiva 50 g leivinhiiva",64008899
"Pirkka rasvaton mieto maitorahka 250 g",6410405098313
"Valio Laktoositon™ rasvaton maitojuoma 1,5 l",6408430000326
"Pirkka Luomu kevytmaito 1 l",6410405113153
"Pirkka täysmaito 1 l",6410405113559
"Valio rasvaton maito 1 l HYLA UHT",6408430011650
"Valio Plus maitokaakaojuoma 1l lakton",6408430046607
"Valio Plus vaniljajuoma 1 l lton",6408430046737
"Valio rasvaton piimä 1 lpiimä HYLA®",6408430001781
"Pirkka Asidofilus-Bifidus piimä 1 l",6410402024957
"Arla Keittiö ruokakerma kalalle 2dl 15%",6413300016697
"Creme Bonjour ruokakerma 2dl paahdettu sipuli 15% laktoositon",8712100380105
"Flora ruoka 15% vähälakt.maitopohj.kasvirasvasekoite 2,5 dl",7310390081132
"Valio Crea ruokakerma 2,5 dl kolme sipulia UHT laktoositon",6408430014828
"Nordic ruoka 15 % kasvirasvasekoite 2 dl",6411200108207
"Valio pehmeä maitorahka 250 g laktoositon",6408430042869
"Valio Plus™ rasvaton maito 1 l",6408430000289
"Pirkka laktoositon rasvaton maitojuoma 1 l",6410405095916
"Pirkka kevytmaito 1 l",6410405082657
"Pirkka vähälaktoosinen mieto maitorahka 250 g",6410405111340
"Pirkka laktoositon kevytmaitojuoma 1 l",6410405095893
"Valio Laktoositon™ kevytmaitojuoma 1,5 l",6408430000319
"Flora ruoka 15% laktoositon maitopohj.kasvirasvasekoite 2,5 dl",8718114868943
"Pirkka vähälaktoosinen ruokakerma 10%",6410402020263
"Pirkka kevyt kermaviili vähälaktoosinen 200g",6410402011742
"Valio kevytmaito 1 l",6408430000128
"Valio kevytmaito 1l luomu",6408430000142
"Valio luomu vanhanajan täysmaito 1l",6408430000418
"Valio täysmaito 1 l",6408430000135
"Valio Eila Latte original maitokahvijuoma 1 l laktoositon",6408430046652
"Andechser Natur vuohenmaito 3,2% luomu 1l UHT",4104060011191
"Valio Gefilus mustikkapiimä 1 l Hyla",6408430017348
"Valio Gefilus rasvaton piimä 1l",6408430001934
"Pirkka kuohukerma 2 dl",6410405079602
"Arla Luomu kuohukerma 2 dl",6413300015225
"Euro Shopper vaahdotettu kermasekoite 250 g / 238 ml",8717399855334
"Valio kahvikerma 3,3 dl 10% laktoositon",6408430014484
"Arla Keittiö ruokakerma kanalle 2dl 15%",6413300016710
"Arla Keittiö ruokakerma lihalle 2dl 15%",6413300016703
"Creme Bonjour ruokakerma 2dl yrtit lakton",8712100332951
"Flora 250ml Kevyt ruoka 7% kasvirasvasekoite",7310394004380
"Valio Crea ruokaker 2,5dl kolme yrttiä laktoositon",6408430014842
"Flora kuohu 26 % vähälaktoosinen maitopohjainen kasvirasvasekoite 2,5 dl",8718114866475
"Arla Keittiö 120g Smetana perinteinen laktoositon",6413300016994
"Valio smetana 120g lakton",6408430041022
"Cmème Bonjour Cuisine 13% Sipulisekoitus hapatettu kermavalmiste 2,5 dl",7310394007886
